Código Único,Nombre de inversión,ARCHIVO_ORIGEN,UBIGEO_DESDE_NOMBRE,UBIGEO_VALIDADO_PMI,UBIGEO_FINAL_VALIDADO,PMI_ENCONTRADO,COINCIDE_NOMBRE_PMI,METODO_EXTRACCION_UBIGEO,CONFIANZA_UBIGEO,ESTADO_UBIGEO,UBIGEOS_CANDIDATOS,OBSERVACION_UBIGEO
2465313.0,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA CALLE TUMBES ENTRE LAS INTERSECCIONES DE LAS CALLES ABAD PUELL Y  AV RÍO CENEPA, Y CALLES ALEDAÑAS EN EL AAHH POZO ELEVADO  DISTRITO DE ZARUMILLA - PROVINCIA DE ZARUMILLA - DEPARTAMENTO DE TUMBES",Cartera_260824-123814.xlsx,240301,,240301,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,240301,Coincidencia exacta y única por nombre
2279319.0,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO DE CAMPAMENTO , DISTRITO DE COASA - CARABAYA - PUNO",Cartera_260824-123814.xlsx,210304,,210304,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,210304,Coincidencia exacta y única por nombre
2305673.0,"INSTALACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO RURAL EN LOS SECTORES DE NUEVA CALA CALA, ASPAEX, ASPAEX-I Y ASPAEX-III (LOS CARIBEÑOS), CENTRO POBLADO DE YACANGO, DISTRITO DE TORATA - MARISCAL NIETO - MOQUEGUA",Cartera_260824-123814.xlsx,180106,,180106,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,180106,Coincidencia exacta y única por nombre
2199705.0,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO BASICO DE LA LOCALIDAD DE INCA ROCA LOBOYACU, DISTRITO DE UCHIZA - TOCACHE - SAN MARTIN",Cartera_260824-123814.xlsx,221005,,221005,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,221005,Coincidencia exacta y única por nombre
2297617.0,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LA COMUNIDAD CAMPESINA DE AURINCOTA: SECTORES MULLUCHUYO - LLUMAHUI, PLATERIA - TOTOROCO, CHACAMARCA, PICHUPICHUNI, TICATANCA, DISTRITO DE HUACULLANI, PROVI",Cartera_260824-123814.xlsx,210403,,210403,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,210403,Coincidencia exacta y única por nombre
2286781.0,"MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SERVICIO DE SANEAMIENTO EN EL CENTRO POBLADO EL TRIUNFO, DISTRITO DE LA PECA- BAGUA-AMAZONAS",Cartera_260824-123814.xlsx,,010206,010206,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,Distrito LA PECA- BAGUA-AMAZONAS no encontrado en GPKG | Validado por PMI: LA PECA
2190265.0,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO (UBS) EN LAS LOCALIDADES DE SAN VICENTE, ROSARIO PAMPA Y NUEVO BERLIN, DISTRITO DE ANCO, PROVINCIA LA MAR - AYACUCHO",Cartera_260824-123814.xlsx,,050502,050502,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,"050502, 090502",Distrito ANCO es ambiguo y no se extrajo provincia | Validado por PMI: ANCO
2265193.0,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DEL CASERIO DE LLUICHOCOLPAN, DISTRITO DE LLUMPA - MARISCAL LUZURIAGA - ANCASH",Cartera_260824-123814.xlsx,021306,,021306,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,021306,Coincidencia exacta y única por nombre
2292730.0,"MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE POMACANCHI, DISTRITO DE POMACANCHI - ACOMAYO - CUSCO",Cartera_260824-123814.xlsx,080205,,080205,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,080205,Coincidencia exacta y única por nombre
2251094.0,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION DE EXCRETAS DE LA LOCALIDAD PANJUY , DISTRITO DE TABALOSOS - LAMAS - SAN MARTIN",Cartera_260824-123814.xlsx,220510,,220510,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220510,Coincidencia exacta y única por nombre
