Prioridad,Orden prelación,Sector,OPMI,Código Único,Código Idea,Tipo inversión,Nombre de inversión,Función,Programa,SubPrograma,Costo actualizado (S/),Devengado acumulado (S/) (al 31 dic. 2025),PIM 2026 (S/),Monto Año 2026 (S/),Monto Año 2027 (S/),Monto Año 2028 (S/),Monto Año 2029 (S/),ARCHIVO_ORIGEN,UBIGEO_DESDE_NOMBRE,UBIGEO_VALIDADO_PMI,UBIGEO_FINAL_VALIDADO,PMI_ENCONTRADO,COINCIDE_NOMBRE_PMI,METODO_EXTRACCION_UBIGEO,CONFIANZA_UBIGEO,ESTADO_UBIGEO,UBIGEOS_CANDIDATOS,OBSERVACION_UBIGEO
237.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2513304.0,,INVERSIONES IOARR,"CONSTRUCCION DE CAPTACION DE AGUA , LÍNEA DE CONDUCCIÓN, PTAP Y RESERVORIO; ADEMÁS DE OTROS ACTIVOS EN EL(LA) SERVICIO DE AGUA POTABLE Y ALCANTARILLADO  DISTRITO DE SAN IGNACIO, PROVINCIA SAN IGNACIO, DEPARTAMENTO CAJAMARCA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,32039588,15280151,9513277,9557173.0,6106866.93,0.0,0.0,Cartera_260824-123814.xlsx,060901,,060901,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,060901,Coincidencia exacta y única por nombre
238.0,B2,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2308606.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION INSTALACION, DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LOS CENTROS POBLADOS DE BETANIA, LA ESPERANZA, VICTORIA NUEVA Y SAN JUAN DE RIO SORITOR, 4 LOCALIDADES DEL DISTRITO DE NUEVA CAJAMARCA - PROVINCIA DE RIOJA - DEPARTAMENTO DE SAN MARTIN",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,43524118,35859774,390098,3186999.0,5250149.71,0.0,0.0,Cartera_260824-123814.xlsx,220804,,220804,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220804,Coincidencia exacta y única por nombre
240.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2449613.0,32395.0,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SISTEMA DE DESAGÜE EN SARAYACU DEL DISTRITO DE INAMBARI - PROVINCIA DE TAMBOPATA - DEPARTAMENTO DE MADRE DE DIOS,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,5358090,3229795,0,431527.0,1674451.93,0.0,0.0,Cartera_260824-123814.xlsx,170102,,170102,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,170102,Coincidencia exacta y única por nombre
242.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2030757.0,,PROYECTO DE INVERSION,"MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE NARANJOS, DISTRITO DE PARDO MIGUEL - RIOJA - SAN MARTIN",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,106632765,88361068,21014411,11232431.0,8559904.66,0.0,0.0,Cartera_260824-123814.xlsx,220805,,220805,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220805,Coincidencia exacta y única por nombre
243.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2382904.0,,PROYECTO DE INVERSION,CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO RURAL EN EL CENTRO POBLADO TOTORAL ALTO DEL DISTRITO DE TAMBO GRANDE - PROVINCIA DE PIURA - DEPARTAMENTO DE PIURA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,8741572,7871503,870067,450107.0,0.0,0.0,0.0,Cartera_260824-123814.xlsx,200114,,200114,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,200114,Coincidencia exacta y única por nombre
243.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2304889.0,,PROYECTO DE INVERSION,"MEJORAMIENTO, AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE LA MICROCUENCA PIURAY CORIMARCA, DISTRITO DE CHINCHERO - URUBAMBA - CUSCO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,48242650,43409240,2353999,3488096.0,1345313.75,0.0,0.0,Cartera_260824-123814.xlsx,081302,,081302,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,081302,Coincidencia exacta y única por nombre
244.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2225966.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO DE LA VICTORIA, DISTRITO DE PAUCARTAMBO - PASCO - PASCO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,4460722,575647,36596,20000.0,3692325.35,0.0,0.0,Cartera_260824-123814.xlsx,,190107,190107,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,"081101, 190107",Distrito PAUCARTAMBO es ambiguo y no se extrajo provincia | Validado por PMI: PAUCARTAMBO
245.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2226480.0,,PROYECTO DE INVERSION,"MEJORAMIENTO, AMPLIACION Y REHABILITACION DEL SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS SERVIDAS DE LA CIUDAD DE CHACHAPOYAS, PROVINCIA DE CHACHAPOYAS - AMAZONAS",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,79433818,68927478,2149409,3500000.0,8986973.57,0.0,0.0,Cartera_260824-123814.xlsx,,010101,010101,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: CHACHAPOYAS"
246.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2309429.0,,PROYECTO DE INVERSION,"AMPLIACION, MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS OCHO BARRIOS URBANO MARGINALES DE LA LOCALIDAD CURAHUASI, DISTRITO DE CURAHUASI - ABANCAY - APURIMAC",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,28637363,25563931,0,0.0,3073431.27,0.0,0.0,Cartera_260824-123814.xlsx,030104,,030104,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,030104,Coincidencia exacta y única por nombre
247.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2458493.0,,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y CREACIÓN DE LA DISPOSICIÓN FINAL DE EXCRETAS  EN LA LOCALIDAD DE SANTA ROSA HUARMITA DEL DISTRITO DE SAN JOSE DE QUERO - PROVINCIA DE CONCEPCION - DEPARTAMENTO DE JUNIN,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,6284590,2112396,1000000,1000000.0,3172193.95,0.0,0.0,Cartera_260824-123814.xlsx,120214,,120214,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,120214,Coincidencia exacta y única por nombre
247.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2338522.0,,PROYECTO DE INVERSION,"CREACION DEL SISTEMA DE ALCANTARILLADO DEL CENTRO POBLADO ANGASH, DISTRITO DE SAN JOSE DEL ALTO - JAEN - CAJAMARCA",SANEAMIENTO,SANEAMIENTO RURAL,SANEAMIENTO,3194682,2797463,397219,361192.0,0.0,0.0,0.0,Cartera_260824-123814.xlsx,060811,,060811,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,060811,Coincidencia exacta y única por nombre
249.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2274607.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DEL DISTRITO DE BERNAL, PROVINCIA DE SECHURA - PIURA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,130249383,37086814,140000,0.0,5462602.64,0.0,0.0,Cartera_260824-123814.xlsx,200803,,200803,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,200803,Coincidencia exacta y única por nombre
250.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2503730.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN LAS LOCALIDADES DE CCOLLCCA, SOYTOCCO, TANTANA Y TALLANA DEL DISTRITO DE ACOCRO - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,10655971,3254769,1110180,1110180.0,6291021.66,0.0,0.0,Cartera_260824-123814.xlsx,050102,,050102,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,050102,Coincidencia exacta y única por nombre
252.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2236164.0,,PROYECTO DE INVERSION,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO  DE CORIRE, DISTRITO DE URACA - CASTILLA - AREQUIPA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,19419250,19412067,7184,7184.0,0.0,0.0,0.0,Cartera_260824-123814.xlsx,040413,,040413,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,040413,Coincidencia exacta y única por nombre
252.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2309153.0,,PROYECTO DE INVERSION,"INSTALACION DEL SISTEMA DE EVACUACIÓN DE AGUAS PLUVIALES DE LA ZONA URBANA DEL DISTRITO DE OXAPAMPA, PROVINCIA DE OXAPAMPA - PASCO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,59362392,20953077,16775610,1294987.0,25490050.82,0.0,0.0,Cartera_260824-123814.xlsx,190301,,190301,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,190301,Coincidencia exacta y única por nombre
253.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2017371.0,,PROYECTO DE INVERSION,AMPLIACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE SAN RAMON,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,47732439,34279899,0,0.0,13452540.26,0.0,0.0,Cartera_260824-123814.xlsx,,120305,120305,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: SAN RAMON"
254.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2071970.0,,PROYECTO DE INVERSION,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE TAMBOGAN, DISTRITO DE CHURUBAMBA - HUANUCO - HUANUCO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,31157183,19327586,5284436,5284436.0,6545161.0,0.0,0.0,Cartera_260824-123814.xlsx,100104,,100104,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,100104,Coincidencia exacta y única por nombre
255.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2168995.0,,PROYECTO DE INVERSION,CONSTRUCCIÓN Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y LETRINAS DE LAS LOCALIDADES DE CHALACALA ALTA Y CHALACALA BAJA - DISTRITO Y PROVINCIA DE SULLANA - DEPARTAMENTO DE PIURA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,5168097,205841,277067,30000.0,4448235.57,0.0,0.0,Cartera_260824-123814.xlsx,,200601,200601,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: SULLANA"
256.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2456767.0,,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SISTEMA DE ELIMINACION DE EXCRETAS EN LA LOCALIDAD DE HUASCABAMBA DEL  DISTRITO DE CAPACMARCA - PROVINCIA DE CHUMBIVILCAS - DEPARTAMENTO DE CUSCO,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,4961713,4447213,12678,10000.0,466904.02,0.0,0.0,Cartera_260824-123814.xlsx,080702,,080702,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,080702,Coincidencia exacta y única por nombre
257.0,D,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2611050.0,,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN LA LOCALIDAD DE ATACOCHA   DISTRITO DE SANTIAGO DE PISCHA DE LA PROVINCIA DE HUAMANGA DEL DEPARTAMENTO DE AYACUCHO,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,2192676,5000,1315606,1355206.0,1664940.0,0.0,0.0,Cartera_260824-123814.xlsx,,050111,050111,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,Distrito SANTIAGO DE PISCHA DE no encontrado en GPKG | Validado por PMI: SANTIAGO DE PISCHA
258.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2509277.0,,PROYECTO DE INVERSION,CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA CHORINASHI DEL DISTRITO DE RAYMONDI - PROVINCIA DE ATALAYA - DEPARTAMENTO DE UCAYALI,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,3280138,1530123,1698072,1599486.0,37500.0,0.0,0.0,Cartera_260824-123814.xlsx,,,,NO,NO,FALLIDO,BAJA,REVISAR_CONFLICTO,,Distrito RAYMONDI no encontrado en GPKG | Datos PMI no cruzaron con GPKG (RAYMONDI - ATALAYA)
259.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2483010.0,,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO EN 13 AA. VV DEL DISTRITO DE LA BANDA DE SHILCAYO - PROVINCIA DE SAN MARTIN - DEPARTAMENTO DE SAN MARTIN,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,58478989,25708507,28279816,28279816.0,171002.0,0.0,0.0,Cartera_260824-123814.xlsx,220909,,220909,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220909,Coincidencia exacta y única por nombre
260.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2446787.0,,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO EN LOS SECTORES DE CENTRO Y CORCCAYOC DE LA COMUNIDAD DE PALLPA DEL DISTRITO DE QUIÑOTA - PROVINCIA DE CHUMBIVILCAS - DEPARTAMENTO DE CUSCO,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,8399845,6384700,834032,300000.0,1001333.69,0.0,0.0,Cartera_260824-123814.xlsx,080707,,080707,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,080707,Coincidencia exacta y única por nombre
261.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2613071.0,,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN LA LOCALIDAD DE SANTIAGO DE COLCA   DISTRITO DE SANTIAGO DE PISCHA DE LA PROVINCIA DE HUAMANGA DEL DEPARTAMENTO DE AYACUCHO,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,2119018,44600,1271411,1271411.0,803006.5,0.0,0.0,Cartera_260824-123814.xlsx,,050111,050111,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,Distrito SANTIAGO DE PISCHA DE no encontrado en GPKG | Validado por PMI: SANTIAGO DE PISCHA
262.0,B0,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2193289.0,,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CASERIO ALTO BOLOGNESI DEL DISTRITO DE SAN IGNACIO - PROVINCIA DE SAN IGNACIO - DEPARTAMENTO DE CAJAMARCA,SANEAMIENTO,SANEAMIENTO RURAL,SANEAMIENTO,4702955,39486,2417129,2417129.0,3143864.0,0.0,0.0,Cartera_260824-123814.xlsx,060901,,060901,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,060901,Coincidencia exacta y única por nombre
263.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2160866.0,,PROYECTO DE INVERSION,"CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO DEL CENTRO POBLADO DE ORURO Y COMUNIDAD CAMPESINA DE ORURO SECTOR MURUMURUNI, DISTRITO CRUCERO, PROVINCIA CARABAYA, DEPARTAMENTO DE PUNO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,3215940,2878266,3429,10000.0,50000.0,0.0,0.0,Cartera_260824-123814.xlsx,,210306,210306,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: CRUCERO"
264.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2196729.0,,PROYECTO DE INVERSION,"AMPLIACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO LA VIRGINIA, DISTRITO DE JAEN , PROVINCIA DE JAEN - CAJAMARCA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,4646526,2453085,154996,1888362.0,496964.93,0.0,0.0,Cartera_260824-123814.xlsx,060801,,060801,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,060801,Coincidencia exacta y única por nombre
265.0,Z,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2303142.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO BASICO DEL CENTRO POBLADO DE SAN JUAN DE PATARA (SECTOR SAYHUAPATA), DISTRITO DE HUAMANQUIQUIA , PROVINCIA DE VICTOR FAJARDO, DEPARTAMENTO DE AYACUCHO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,5235551,267059,579337,113542.0,465795.0,3923360.19,0.0,Cartera_260824-123814.xlsx,051008,,051008,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,051008,Coincidencia exacta y única por nombre
266.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2308363.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO MENOR SAN JOSE , DISTRITO DE YARINACOCHA - CORONEL PORTILLO - UCAYALI",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,9573712,7784647,31579,10000.0,1752665.53,0.0,0.0,Cartera_260824-123814.xlsx,250105,,250105,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,250105,Coincidencia exacta y única por nombre
267.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2295627.0,,PROYECTO DE INVERSION,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO DE PUCARARCA , DISTRITO DE SAUCE - SAN MARTIN - SAN MARTIN",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,3390865,2461716,650983,400934.0,278165.79,0.0,0.0,Cartera_260824-123814.xlsx,220913,,220913,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220913,Coincidencia exacta y única por nombre
268.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2072295.0,,PROYECTO DE INVERSION,"AMPLIACION, MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE CALCA, PROVINCIA DE CALCA - CUSCO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,17899525,13866099,631284,126257.0,3907168.88,0.0,0.0,Cartera_260824-123814.xlsx,,080401,080401,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: CALCA"
269.0,Z,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2235549.0,,PROYECTO DE INVERSION,"MEJORA Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CENTRO POBLADO DE CHINCHAVITO , DISTRITO DE CHAGLLA - PACHITEA - HUANUCO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,7298178,224455,131377,131377.0,3472870.0,3469477.0,0.0,Cartera_260824-123814.xlsx,100802,,100802,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,100802,Coincidencia exacta y única por nombre
270.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2339108.0,,PROYECTO DE INVERSION,"MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO BASICO EN EL CASERIO NUEVO BELEN, DISTRITO DE MANANTAY - CORONEL PORTILLO - UCAYALI",SANEAMIENTO,SANEAMIENTO RURAL,SANEAMIENTO,2915957,960227,1873643,493355.0,10000.0,0.0,0.0,Cartera_260824-123814.xlsx,250107,,250107,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,250107,Coincidencia exacta y única por nombre
271.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2202842.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CENTRO POBLADO SEXESHITA, DISTRITO DE SAN LUIS DE LUCMA - CUTERVO - CAJAMARCA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,3684641,3238837,0,10000.0,50000.0,0.0,0.0,Cartera_260824-123814.xlsx,060610,,060610,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,060610,Coincidencia exacta y única por nombre
272.0,B1,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2295628.0,,PROYECTO DE INVERSION,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO DE EL CHALLUAL , DISTRITO DE ALTO BIAVO - BELLAVISTA - SAN MARTIN",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,5654688,4638953,104773,829677.0,338223.94,0.0,0.0,Cartera_260824-123814.xlsx,220202,,220202,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220202,Coincidencia exacta y única por nombre
273.0,Z,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2270790.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO DEL CENTRO POBLADO DE SANTA ROSA DE CHAQUICOCHA , DISTRITO DE SANTO DOMINGO DE ACOBAMBA - HUANCAYO - JUNIN",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,11010978,273145,2737412,1814063.0,812271.0,8707975.59,0.0,Cartera_260824-123814.xlsx,120135,,120135,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,120135,Coincidencia exacta y única por nombre
