CODIGO_UNICO,NOMBRE_INVERSION,PROVINCIA,DISTRITO,LATITUD,LONGITUD,TIPO_COORDENADA,EPS_PRESTACION,TIENE_EPS_PRESTACION,DENTRO_EPS,CATEGORIA_COORD
2709381,"CONSTRUCCION DE RESERVORIO, LINEA DE IMPULSION Y RED DE DISTRIBUCION EN EL(LA) PARCIALIDAD ISLA QUIPATA  DISTRITO DE PLATERIA, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,PLATERIA,-15.884050766730631,-69.82611422656181,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2662261,CREACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL SECTOR ANANSAYA PUNA II DEL   DISTRITO DE NUÑOA DE LA PROVINCIA DE MELGAR DEL DEPARTAMENTO DE PUNO,MELGAR,NUÑOA,-14.338280358260342,-70.60730323551853,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2663702,"CREACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL CENTRO POBLADO DE SAN PEDRO DE HUAYLLATA PARCIALIDAD DE ASQUICHA,   DISTRITO DE PILCUYO DE LA PROVINCIA DE EL COLLAO DEL DEPARTAMENTO DE PUNO",EL COLLAO,PILCUYO,-16.026104202757125,-69.45011460687766,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2735423,"CONSTRUCCION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE Y RED DE ALCANTARILLADO EN EL(LA) BARRIO MIRAFLORES  DISTRITO DE TINICACHI, PROVINCIA YUNGUYO, DEPARTAMENTO PUNO",YUNGUYO,TINICACHI,-16.196633759845994,-68.9607683364505,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2244926,"MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LOS SECTORES DE CENTRAL LLAQTA, CHOJELA, KANCOLLANI, ALTO LLAQTA Y CERRO PORTEÑO, DISTRITO DE CAPACHICA - PUNO - PUNO",PUNO,CAPACHICA,-15.6420185,-69.8307928,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2330331,"MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE Y SANEAMIENTO BASICO EN LAS COMUNIDADES CAMPESINAS DE AGUAY MILAGRO Y RINCONADA, DISTRITO DE CHUPA - AZANGARO - PUNO",AZANGARO,CHUPA,-15.1059765,-69.9865962,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2182598,"MEJORAMIENTO DEL SISTEMA DE SANEAMIENTO INTEGRAL EN LOS CP ALTOS HUAYRAPATA, CC MULLUCHINI, CRUZPATA, CHUYMACOLLO, JALLIRI, KIMSA LACCAYA, POMAOCA Y TOTORANI, DISTRITO DE HUAYRAPATA - MOHO - PUNO",MOHO,HUAYRAPATA,-15.3214488,-69.341349,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2275165,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y UNIDADES BASICAS DE SANEAMIENTO  EN CHILA, OCCOMANI Y CAYRANI HUAYLLANI , DISTRITO DE TIQUILLACA - PUNO - PUNO",PUNO,TIQUILLACA,-15.7973641,-70.1868662,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2291955,"MEJORAMIENTO Y AMPLIACION INTEGRAL DEL SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN EL PUEBLO DE MUÑANI, DISTRITO DE MUNANI - AZANGARO - PUNO",AZANGARO,MUÑANI,-14.7707724,-69.9557279,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2295143,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS SANITARIAS CON ARRASTRE HIDRAULICO Y BIODIGESTOR EN LA COMUNIDAD DE CAYARANI, DISTRITO DE ORURILLO - MELGAR - PUNO",MELGAR,ORURILLO,-14.6470928,-70.5795963,APROXIMADA_LOCALIDAD,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
