CODIGO_UNICO,LATITUD_NUEVA,LONGITUD_NUEVA,FUENTE_COORDENADA,TIPO_COORDENADA,ESTADO_ENRIQUECIMIENTO
2323408,-16.2260345,-73.6106093,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2132731,-16.3242988,-72.2878298,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2032068,-16.4210931,-71.474928,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2535685,-16.4251651,-71.6727116,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2280051,-15.7583827,-72.9106397,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2147727,-16.4581953,-71.9227982,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2225963,-16.0170279,-72.5307193,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2333706,-15.3427911,-73.2485054,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2331093,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2330037,-17.1721359,-71.7905267,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2318379,-17.0424928,-71.8917731,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2234234,-16.4714183,-71.9630459,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2178481,-15.8388532,-72.6518449,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2329729,-16.725199,-71.8611638,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2028925,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2296421,-15.1489905,-72.7687155,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2329915,-17.071114,-71.7241323,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2176234,-16.4632386,-71.6048807,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2381037,-16.4714183,-71.9630459,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2074645,-15.6416788,-71.5730626,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2114610,-16.4736023,-72.6243389,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2166102,-16.4210931,-71.474928,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2219975,-16.725199,-71.8611638,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2306395,-15.9330222,-73.1307363,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2202452,-15.5476611,-72.9185605,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2325707,-16.4689321,-71.5380727,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2057869,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2179139,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2306889,-16.725199,-71.8611638,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2078454,-16.4210931,-71.474928,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2321534,-17.1444661,-71.8213694,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2312082,-16.5797225,-71.8372496,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2351971,-16.725199,-71.8611638,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2162677,-16.725199,-71.8611638,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2209411,-16.4314792,-73.1049285,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2029117,-16.4486789,-71.3592378,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2130386,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2328027,-16.6248458,-72.7114514,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2289195,-15.7388369,-73.8618503,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2236164,-16.2012575,-72.4757474,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2242631,-15.6252546,-73.7984366,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2057177,-16.4632386,-71.6048807,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2029643,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2029652,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2148923,-16.5952311,-72.7343311,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2029912,-16.725199,-71.8611638,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2087379,-17.0292533,-72.0155447,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2319998,-17.0292533,-72.0155447,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2328267,-15.6718172,-74.5387162,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2331980,-16.3376419,-71.4968918,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2207782,-15.5477,-72.9178,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2331579,-15.7757024,-74.1911892,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2321233,-17.1227984,-71.7994027,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2248327,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2050497,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2052055,-16.3475341,-71.5765843,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2337784,-16.0555745,-73.1172142,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2088308,-16.6248458,-72.7114514,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2229656,-16.4689321,-71.5380727,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2129697,-16.4865136,-71.4663748,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2319489,-16.3242988,-72.2878298,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2180768,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2405498,-16.725199,-71.8611638,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2339109,-16.5469355,-71.4752051,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2063005,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2378764,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2375815,-16.3376419,-71.4968918,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2338701,-16.4591236,-71.5689479,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2340190,-17.1015259,-71.8360849,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2316174,-14.6698189,-72.0241669,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2090948,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2066267,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2028907,-16.1602144,-71.614073,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2403922,-16.6248458,-72.7114514,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2422343,-16.4314792,-73.1049285,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2166795,-15.6416788,-71.5730626,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2107751,-15.8644318,-73.3274948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
